,COPOD_ROC,DeepSVDD_ROC,COPOD_PR,DeepSVDD_PR
2_2_000101000_100001000_black voices_women_environment,0.5126308779087771,0.5001530369281694,0.5118120838123253,0.49573675480386903
2_2_000101010_000100000_queer voices_latino voices,0.49134902202606834,0.4868034072265017,0.49567865610054906,0.4899306343124112
2_2_001000100_101000101_style_arts & culture,0.4972314388174911,0.4667723006209713,0.49305640331031003,0.4659748967168561
2_2_010000000_000100000_fifty_latino voices,0.36814780795574614,0.4593339703441841,0.41856456859089963,0.4667094368241171
2_2_010000001_010001000_politics_sports_college,0.5598441350584706,0.5200084780076017,0.5496332208874289,0.5169276549556119
2_2_010000001_010011001_politics_sports_education,0.558938066614521,0.5500958473514641,0.5471512876591906,0.5495966723207869
2_2_010000010_010001000_wellness_parenting_divorce_college,0.40195280717207255,0.5442091270842648,0.4167257848995729,0.5445337303779126
2_2_010000010_011000110_wellness_parenting_divorce_home & living,0.3998275202464413,0.5363150877761638,0.41484247365090055,0.5468143277690145
2_2_010000010_100000010_wellness_parenting_divorce_impact,0.4196423232922463,0.5299919958634557,0.4279918316540384,0.5305762702845235
2_2_010000010_110000110_wellness_parenting_divorce_healthy living tips,0.39658706985237957,0.42760405844930127,0.4153824649339695,0.4393157185871854
2_2_010001000_010011001_college_education,0.4497519199203601,0.45237616180842277,0.4568046547069068,0.4570519371941313
